Trade,Origin region,Destination region,Origin country,district,req ETD wk ,Cust. Code,Carrier (Std),Contract #,BR:1st Vessel,BR:1st Voyage #,Bkg Party # ,TMS #,Booking Status,Exception?,BR:PRE,BR:POL,BR:POD,BR:DEL,Move Type,BR:Req. ETD,BC:ETD POL,BR:Eqp.,BR:Eqp. Cnt,BC:Eqp.,BC:Eqp. Cnt,BC:Release Date,BC:Version,BR:Req. FEU,BC:Conf. FEU,BC: CY Cut-off Date,BC: CY Cut-off Time,BC: VGM Cut-off Date,BC: VGM Cut-off Time,BC: SI Cut-off Date,BC: SI Cut-off Time,BC:1st ETD POL,BC:1st ETA POD,BC:1st Release Date,BC:Released,BR:2nd Vessel,BR:2nd Voyage #,Consignee,Region,Bkg Type,Shipper Bkg Linked?,CRD,Date between BR creattion / ETD req,Check,x4,x5,x6,x7,x8,x9
AP > EU,AP,EU,IN,IN W.,27,HMH,MAEU,90-0080,MAERSK PELEPAS,327S,228835193,185466007,Confirmed,Y,INMUN,INMUN,DEHAM,DEHAM,CYP/CYP,01-Jul,08-Jul,20GPx1,1,20GPx1,1,03-Jul,6,0.5,0.5,,,,,,,08-Jul,10-Aug,29-Jun,Yes,MARCHEN MAERSK,326W,H&M Home,India,Direct,Yes,23-Jun,,-4,,,,,,
AP > EU,AP,EU,IN,IN W.,27,HMH,MAEU,90-0080,MAERSK PELEPAS,327S,228849192,185494136,Confirmed,Y,INMUN,INMUN,DEHAM,DEHAM,CYP/CYP,01-Jul,08-Jul,40HCx1,1,40HCx1,1,07-Jul,6,1.125,1.125,,,,,,,08-Jul,10-Aug,30-Jun,Yes,MARCHEN MAERSK,326W,H&M Home,India,Direct,Yes,,,-7,,,,,,
AP > EU,AP,EU,CN,CN E.,27,HMH,MAEU,90-0080,,,228248880,185219048,Confirmed,N,CNFOC,CNFOC,DEHAM,DEHAM,CYP/CYP,03-Jul,03-Jul,40HCx1,1,40HCx1,1,25-Jun,1,1.125,1.125,,,,,,,03-Jul,10-Aug,25-Jun,Yes,,,H&M Home,Xiamen,Bkg Agnt,Yes,,,0,,,,,,
AP > NA,AP,NA,CN,CN E.,27,NEW,CMDU,89-0000,CSCL SUMMER,054E,NGP0361026,185220461,Canceled by carrier,N," - , ",CNNGB,USLGB," - , ",CYP/D,03-Jul,,"20GPx1, 40GPx1",2,,,,,1.5,,,,,,,,,,,Yes,,,Newell Brands Distribution,Ningbo,Bkg Agnt,No,,,0,,,,,,
AP > NA,AP,NA,CN,CN S.,27,TRI,EGLV,D900070,EVER FOREVER,1304-015E,149303599537,185307130,Canceled by carrier,N,CNYTN,CNYTN,USLAX,USLAX,CYP/CYP,03-Jul,,40HCx1,1,,,,,1.125,,,,,,,,,,,No,,,Triumph,S.China,Direct,No,,,0,,,,,,
AP > NA,AP,NA,CN,CN S.,27,TRI,EGLV,D900070,EVER FOREVER,1304-015E,149303599545,185307138,Canceled by carrier,N,CNYTN,CNYTN,USLAX,USLAX,CYP/CYP,03-Jul,,40HCx1,1,,,,,1.125,,,,,,,,,,,No,,,Triumph,S.China,Direct,No,,,0,,,,,,
AP > NA,AP,NA,CN,CN S.,27,TRI,EGLV,D900070,EVER FOREVER,1304-015E,149303599562,185307139,Canceled by carrier,N,CNYTN,CNYTN,USLAX,USLAX,CYP/CYP,03-Jul,,40HCx1,1,,,,,1.125,,,,,,,,,,,No,,,Triumph,S.China,Direct,No,,,0,,,,,,
AP > NA,AP,NA,CN,CN S.,27,TRI,EGLV,D900070,EVER FOREVER,1304-015E,149303599553,185307140,Canceled by carrier,N,CNYTN,CNYTN,USLAX,USLAX,CYP/CYP,03-Jul,,40HCx1,1,,,,,1.125,,,,,,,,,,,No,,,Triumph,S.China,Direct,No,,,0,,,,,,
AP > NA,AP,NA,CN,CN S.,27,TES,EGLV,D900070,EVER FOREVER,1304-015E,149303599693,185307159,Canceled by carrier,N,CNYTN,CNYTN,USLAX,USLAX,CYP/CYP,03-Jul,,40HCx1,1,,,,,1.125,,,,,,,,,,,No,,,Tesla,S.China,Direct,No,,,0,,,,,,
AP > NA,AP,NA,CN,CN S.,27,TES,EGLV,D900070,EVER FOREVER,1304-015E,149303599707,185307161,Canceled by carrier,N,CNYTN,CNYTN,USLAX,USLAX,CYP/CYP,03-Jul,,40HCx1,1,,,,,1.125,,,,,,,,,,,No,,,Tesla,S.China,Direct,No,,,0,,,,,,
AP > NA,AP,NA,CN,CN S.,27,STA,EGLV,D900070,EVER FOREVER,1304-015E,149303599715,185307162,Canceled by carrier,N,CNYTN,CNYTN,USLAX,USLAX,CYP/CYP,03-Jul,,40HCx1,1,,,,,1.125,,,,,,,,,,,No,,,Starbucks,S.China,Direct,No,,,0,,,,,,
AP > NA,AP,NA,CN,CN E.,27,DEC,COSU,SSM25008,,,6360342320,185570815,Confirmed,Y,CNXMN,CNXMN,USLGB,USLGB,CYP/CYP,03-Jul,12-Jul,45HCx2,2,45HCx2,2,04-Jul,1,2.53,2.53,,,,,,,12-Jul,30-Jul,04-Jul,Yes,,,Decathlon,Xiamen,Bkg Agnt,Yes,,,0,,,,,,
AP > NA,AP,NA,CN,CN E.,27,NIK,HDMU,CA235001,,,HDMUNKGZ57029800,185513740,Confirmed,N,CNNKG,CNNKG,CAVAN,CAVAN,CYP/CYP,04-Jul,04-Jul,40HCx1,1,40HCx1,1,03-Jul,1,1.125,1.125,,,,,,,04-Jul,,03-Jul,Yes,,,Nike,Shanghai,Bkg Agnt,Yes,,,0,,,,,,
AP > EU,AP,EU,CN,CN E.,27,K,MAEU,90-0080,ELLY MAERSK,527W,264318575,185231641,Confirmed,N,CNNGB,CNNGB,NLRTM,NLRTM,CYP/CYP,05-Jul,05-Jul,40HCx1,1,40HCx1,1,27-Jun,2,1.125,1.125,02-Jul,22:00,02-Jul,16:00,01-Jul,20:00,05-Jul,15-Aug,25-Jun,Yes,,,H&M Home,Ningbo,Direct,Yes,27-Jun, 18.00 ,-2,,,,,,
AP > EU,AP,EU,CN,CN E.,27,HMH,MAEU,90-0080,ELLY MAERSK,527W,264318665,185231643,Confirmed,Y,CNNGB,CNNGB,NLRTM,NLRTM,CYP/CYP,05-Jul,05-Jul,40GPx1,1,20GPx1,1,26-Jun,2,1,0.5,02-Jul,22:00,02-Jul,16:00,01-Jul,20:00,05-Jul,15-Aug,25-Jun,Yes,,,H&M Home,Ningbo,Direct,Yes,28-Jun, 18.00 ,-1,,,,,,
AP > NA,AP,NA,CN,CN E.,27,NEW,CMDU,89-0000,OOCL EGYPT,053E,CHN0387267,185209124,Confirmed,Y,CNSHA,CNSHA,USLGB,USLGB,CYP/CYP,05-Jul,25-Jul,40HCx2,2,40HCx2,2,10-Jul,3,2.25,2.25,,,,,,,05-Jul,,25-Jun,Yes,,,Newell Brands Distribution,Shanghai,Bkg Agnt,Yes,27-Jun,,-15,,,,,,
AP > NA,AP,NA,VN,VN S.,27,WAL,MAEU,90-0080,MAERSK CHARLESTON,327N,228694911,185241077,Confirmed,N,VNSGN,VNVUT,USTPA,USTPA,CYP/CYP,05-Jul,04-Jul,40HCx1,1,40HCx1,1,04-Jul,3,1.125,1.125,,,,,,,04-Jul,28-Aug,26-Jun,Yes,ZIM NINGBO,079E,Walmart,Vietnam,Direct,Yes,,,-8,,,,,,
AP > NA,AP,NA,VN,VN S.,27,WAL,MAEU,90-0080,MAERSK CHARLESTON,327N,228694913,185241078,Confirmed,N,VNSGN,VNVUT,USTPA,USTPA,CYP/CYP,05-Jul,04-Jul,40HCx1,1,40HCx1,1,04-Jul,3,1.125,1.125,,,,,,,04-Jul,28-Aug,26-Jun,Yes,ZIM NINGBO,079E,Walmart,Vietnam,Direct,Yes,,,-8,,,,,,
AP > NA,AP,NA,VN,VN S.,27,WAL,MAEU,90-0080,MAERSK CHARLESTON,327N,228694912,185241079,Confirmed,N,VNSGN,VNVUT,USTPA,USTPA,CYP/CYP,05-Jul,04-Jul,40HCx1,1,40HCx1,1,28-Jun,2,1.125,1.125,,,,,,,04-Jul,28-Aug,26-Jun,Yes,ZIM NINGBO,079E,Walmart,Vietnam,Direct,No,,,-2,,,,,,
AP > NA,AP,NA,VN,VN S.,27,WAL,MAEU,90-0080,MAERSK CHARLESTON,327N,228694914,185241080,Confirmed,N,VNSGN,VNVUT,USTPA,USTPA,CYP/CYP,05-Jul,04-Jul,40HCx1,1,40HCx1,1,04-Jul,3,1.125,1.125,,,,,,,04-Jul,28-Aug,26-Jun,Yes,ZIM NINGBO,079E,Walmart,Vietnam,Direct,Yes,,,-8,,,,,,
AP > NA,AP,NA,CN,CN E.,27,COS,MAEU,90-0090,,,228683003,185219276,Confirmed,Y,CNXMN,CNXMN,USLAX,USLAX,CYP/CYP,06-Jul,10-Jul,40GPx1,1,40GPx1,1,25-Jun,1,1,1,,,,,,,10-Jul,24-Jul,25-Jun,Yes,,,Costco,Xiamen,Bkg Agnt,Yes,,,0,,,,,,
AP > NA,AP,NA,CN,CN E.,27,LEN,MAEU,90-0090,,,228683144,185219424,Confirmed,Y,CNXMN,CNXMN,USLAX,USLAX,CYP/CYP,06-Jul,10-Jul,"40GPx1, 40HCx2",3,"40GPx1, 40HCx2",3,25-Jun,1,3.25,3.25,,,,,,,10-Jul,24-Jul,25-Jun,Yes,,,Lenovo,Xiamen,Bkg Agnt,Yes,,,0,,,,,,
AP > NA,AP,NA,CN,CN E.,27,HOD,MAEU,90-0090,,,229257687,185219503,Confirmed,Y,CNXMN,CNXMN,USLAX,USLAX,CYP/CYP,06-Jul,18-Jul,45HCx1,1,45HCx1,1,13-Jul,2,1.265,1.265,,,,,,,10-Jul,24-Jul,26-Jun,Yes,,,Home Depot,Xiamen,Bkg Agnt,Yes,,,-17,,,,,,
AP > NA,AP,NA,CN,CN E.,27,NEW,CMDU,89-0000,EVER FOCUS,1117015E,NGP0361534,185230268,Confirmed,Y," - , ",CNNGB,USSAV,USXFS,CYP/D,06-Jul,13-Jul,40HCx3,3,40HCx3,3,26-Jun,1,3.375,3.375,,,,,,,13-Jul,22-Aug,26-Jun,Yes,,,Newell Brands Distribution,Ningbo,Bkg Agnt,Yes,,,0,,,,,,
AP > NA,AP,NA,CN,CN E.,27,DEC,EGLV,SC50089,,,148300176696,185329512,Confirmed,Y,CNFOC,CNFOC,USLAX,USLAX,CYP/CYP,06-Jul,13-Jul,40HCx1,1,40HCx1,1,06-Jul,2,1.125,1.125,,,,,,,06-Jul,31-Jul,28-Jun,Yes,,,Decathlon,Xiamen,Bkg Agnt,Yes,,,-8,,,,,,
AP > NA,AP,NA,CN,CN S.,28,NIK,MSCU,25-970GA,MAERSK EDINBURGH,326N,181AY0232707763P1,185217017,Confirmed,N,CNYTN,CNYTN,USLAX,USLAX,CYP/CYP,07-Jul,07-Jul,40HCx1,1,40HCx1,1,26-Jun,1,1.125,1.125,,,,,,,07-Jul,,26-Jun,Yes,,,Nike,S.China,Direct,Yes,,,0,,,,,,
AP > NA,AP,NA,CN,CN S.,28,NIK,MSCU,25-970GA,MAERSK EDINBURGH,326N,181AY0232707765P1,185217128,Confirmed,N,CNYTN,CNYTN,USLAX,USLAX,CYP/CYP,07-Jul,07-Jul,40HCx1,1,40HCx1,1,26-Jun,1,1.125,1.125,,,,,,,07-Jul,,26-Jun,Yes,,,Nike,S.China,Direct,Yes,,,0,,,,,,
AP > NA,AP,NA,VN,VN S.,28,WAL,MSCU,25-970GA,MAERSK CHARLESTON,327N,339IN2322727,185241525,Confirmed,N,VNVUT,VNVUT,USTPA,USTPA,CYP/CYP,07-Jul,07-Jul,40HCx1,1,40HCx1,1,27-Jun,1,1.125,1.125,,,,,,,07-Jul,,27-Jun,Yes,,,Walmart,Vietnam,Direct,Yes,,,0,,,,,,
AP > NA,AP,NA,CN,CN E.,28,BBY,OOLU,PE2508,COSCO BELGIUM,064E,TBD,185328738,Canceled by requestor,N,CNNKG,CNNKG,USLGB,USLGB,CYP/CYP,07-Jul,,40HCx10,10,,,,,11.25,,,,,,,,,,,No,,,Best Buy,Shanghai,Bkg Agnt,No,,,0,,,,,,
AP > NA,AP,NA,CN,CN E.,28,HOD,MAEU,90-0090,MSC ISTANBUL,327N,291939826,185362419,Confirmed,N,CNNKG,CNNKG,USLGB,USLGB,CYP/CYP,07-Jul,08-Jul,40HCx2,2,40HCx2,2,30-Jun,1,2.25,2.25,,,,,,,08-Jul,29-Jul,30-Jun,Yes,,,Home Depot,Shanghai,Bkg Agnt,Yes,,,0,,,,,,
AP > NA,AP,NA,CN,CN S.,28,HOD,MSCU,25-001WW,MAERSK EDINBURGH,326N,181AY0232710927P1,185370983,Canceled by carrier,N,CNYTN,CNYTN,USLAX,USLAX,CYP/CYP,07-Jul,,40HCx1,1,,,,,1.125,,,,,,,,,,,Yes,,,Home Depot,S.China,Direct,No,,,0,,,,,,
AP > NA,AP,NA,CN,CN S.,28,WAL,MSCU,25-001WW,MAERSK EDINBURGH,326N,181AY0232710943P1,185371020,Confirmed,N,CNYTN,CNYTN,USLAX,USLAX,CYP/CYP,07-Jul,07-Jul,40HCx1,1,40HCx1,1,28-Jun,1,1.125,1.125,,,,,,,07-Jul,,28-Jun,Yes,,,Walmart,S.China,Direct,No,,,0,,,,,,
AP > NA,AP,NA,CN,CN S.,28,DEC,MSCU,25-001WW,MAERSK EDINBURGH,326N,181AY0232710944P1,185371022,Canceled by carrier,N,CNYTN,CNYTN,USLAX,USLAX,CYP/CYP,07-Jul,,40HCx1,1,,,,,1.125,,,,,,,,,,,Yes,,,Decathlon,S.China,Direct,No,,,0,,,,,,
AP > NA,AP,NA,CN,CN S.,28,TRI,MAEU,90-0090,MAERSK EDINBURGH,326N,228778204,185371190,Confirmed,N,CNYTN,CNYTN,USLAX,USLAX,CYP/CYP,07-Jul,07-Jul,40GPx1,1,40GPx1,1,29-Jun,4,1,1,,,,,,,07-Jul,24-Jul,28-Jun,Yes,,,Triumph,S.China,Direct,Yes,,,-1,,,,,,
AP > NA,AP,NA,CN,CN S.,28,TRI,MAEU,90-0090,MSC RIFAYA,329N,228778257,185371208,Canceled by carrier,N,CNYTN,CNYTN,USLGB,USLGB,CYP/CYP,07-Jul,,45HCx1,1,,,,,1.265,,,,,,,,,,,Yes,,,Triumph,S.China,Direct,No,,,0,,,,,,
AP > NA,AP,NA,CN,CN E.,28,NIK,OOLU,PE2508,COSCO BELGIUM,064E,OOLU2141567790,185377956,Confirmed,N,CNNKG,CNNKG,USLGB,USLGB,CYP/CYP,07-Jul,07-Jul,40HCx9,9,40HCx9,9,07-Jul,2,10.125,10.125,,,,,,,07-Jul,31-Jul,30-Jun,Yes,,,Nike,Shanghai,Bkg Agnt,Yes,,,-7,,,,,,
AP > NA,AP,NA,CN,CN S.,28,WAL,MAEU,90-0090,MAERSK EDINBURGH,326N,228789138,185387458,Confirmed,N,CNYTN,CNYTN,USLAX,USLAX,CYP/CYP,07-Jul,07-Jul,40HCx1,1,40HCx1,1,29-Jun,3,1.125,1.125,,,,,,,07-Jul,24-Jul,28-Jun,Yes,,,Walmart,S.China,Direct,Yes,,,-1,,,,,,
AP > NA,AP,NA,CN,CN S.,28,TES,MAEU,90-0090,MAERSK EDINBURGH,326N,228789151,185387557,Confirmed,N,CNYTN,CNYTN,USLAX,USLAX,CYP/CYP,07-Jul,07-Jul,40HCx1,1,40HCx1,1,29-Jun,2,1.125,1.125,,,,,,,07-Jul,24-Jul,28-Jun,Yes,,,Tesla,S.China,Direct,Yes,,,-1,,,,,,
AP > NA,AP,NA,VN,VN S.,28,TGT,OOLU,PE2508,COSCO NETHERLANDS,058E,2141593890,185442556,Confirmed,N,VNSGN,VNTOT,USLGB,USLGB,CYP/CYP,07-Jul,07-Jul,40HCx1,1,40HCx1,1,30-Jun,1,1.125,1.125,,,,,,,07-Jul,28-Jul,30-Jun,Yes,,,Target,Vietnam,Direct,Yes,,,0,,,,,,
AP > NA,AP,NA,VN,VN S.,28,BBY,MSCU,25-970GA,Maersk Charleston,327N,339IN2323283,185443286,Confirmed,N,VNSGN,VNVUT,USLAX,USLAX,CYP/CYP,07-Jul,07-Jul,40HCx2,2,40HCx2,2,29-Jun,1,2.25,2.25,,,,,,,07-Jul,,29-Jun,Yes,,,Best Buy,Vietnam,Direct,Yes,,,0,,,,,,
AP > NA,AP,NA,CN,CN S.,28,HOD,MAEU,90-0090,MAERSK EDINBURGH,326N,228878263,185546523,Confirmed,N,CNYTN,CNYTN,USLAX,USLAX,CYP/CYP,07-Jul,07-Jul,40HCx1,1,40HCx1,1,01-Jul,1,1.125,1.125,,,,,,,07-Jul,24-Jul,01-Jul,Yes,,,Home Depot,S.China,Direct,No,,,0,,,,,,
AP > NA,AP,NA,CN,CN S.,28,COS,MAEU,90-0090,MAERSK EDINBURGH,326N,228881776,185557029,Canceled by carrier,N,CNYTN,CNYTN,USLAX,USLAX,CYP/CYP,07-Jul,,40HCx1,1,,,,,1.125,,,,,,,,,,,Yes,,,Costco,S.China,Direct,No,,,0,,,,,,
AP > NA,AP,NA,CN,CN S.,28,COS,MAEU,90-0090,MAERSK EDINBURGH,326N,228881774,185557030,Canceled by carrier,N,CNYTN,CNYTN,USLAX,USLAX,CYP/CYP,07-Jul,,40GPx1,1,,,,,1,,,,,,,,,,,Yes,,,Costco,S.China,Direct,No,,,0,,,,,,
AP > NA,AP,NA,CN,CN S.,28,DEC,MAEU,90-0090,MAERSK EDINBURGH,326N,228881775,185557031,Canceled by carrier,N,CNYTN,CNYTN,USLAX,USLAX,CYP/CYP,07-Jul,,40GPx1,1,,,,,1,,,,,,,,,,,Yes,,,Decathlon,S.China,Direct,No,,,0,,,,,,
AP > NA,AP,NA,CN,CN S.,28,HOD,MAEU,90-0090,MAERSK EDINBURGH,326N,228881773,185557032,Canceled by carrier,N,CNYTN,CNYTN,USLAX,USLAX,CYP/CYP,07-Jul,,40GPx1,1,,,,,1,,,,,,,,,,,Yes,,,Home Depot,S.China,Direct,No,,,0,,,,,,
AP > NA,AP,NA,CN,CN E.,28,NEW,CMDU,89-0000,,,XIA1173014,185312492,Confirmed,N,CNXMN,CNXMN,USSAV,USXFS,CYP/CYP,08-Jul,08-Jul,40GPx3,3,40GPx3,3,27-Jun,1,3,3,,,,,,,08-Jul,,27-Jun,Yes,,,Newell Brands Distribution,Xiamen,Bkg Agnt,Yes,,,0,,,,,,
AP > NA,AP,NA,VN,VN S.,28,TGT,OOLU,PE2508,COSCO SHIPPING ALPS,030E,2141471780,185157875,Confirmed,Y,VNSGN,VNTOT,USLGB,USLGB,CYP/CYP,09-Jul,14-Jul,45HCx1,1,45HCx1,1,26-Jun,3,1.265,1.265,,,,,,,14-Jul,03-Aug,23-Jun,Yes,,,Target,Vietnam,Direct,Yes,,,-3,,,,,,
AP > NA,AP,NA,CN,CN S.,28,NEW,MSCU,25-970GA,MSC ISTANBUL,327N,181AY0232707102D1,185205623,Confirmed,N,CNYTN,CNYTN,USLGB,USJAA,CYP/D,09-Jul,09-Jul,"20GPx1, 40HCx1",2,"20GPx1, 40HCx1",2,30-Jun,4,1.625,1.625,,,,,,,09-Jul,,26-Jun,Yes,,,Newell Brands Distribution,S.China,Direct,Yes,,,-4,,,,,,
AP > EU,AP,EU,CN,CN N.,28,HMH,MAEU,90-0080,,,273046987,185208093,Confirmed,N,CNTAO,CNTAO,DEBRV,DEHBO,CYP/D,09-Jul,09-Jul,40HCx1,1,40HCx1,1,26-Jun,1,1.125,1.125,,,,,,,09-Jul,25-Aug,26-Jun,Yes,,,H&M Home,Qingdao,Bkg Agnt,Yes,,,0,,,,,,
AP > NA,AP,NA,VN,VN S.,28,TGT,OOLU,PE2506,COSCO SHIPPING ALPS,030E,2141503020,185231371,Canceled by carrier,N,VNSGN,VNTOT,USLGB,USLGB,CYP/CYP,09-Jul,,20GPx1,1,,,,,0.5,,,,,,,,,,,No,,,Target,Vietnam,Direct,No,,,0,,,,,,
AP > NA,AP,NA,CN,CN E.,28,DEC,COSU,SSM25008,COSCO FRANCE,055E,TSL202306270796,185327811,Confirmed,N,CNNGB,CNNGB,USLGB,USLGB,CYP/CYP,09-Jul,09-Jul,45HCx1,1,45HCx1,1,28-Jun,1,1.265,1.265,,,,,,,09-Jul,,28-Jun,Yes,,,Decathlon,Ningbo,Bkg Agnt,Yes,,,0,,,,,,
AP > NA,AP,NA,CN,CN E.,28,STA,COSU,SSM25008,COSCO FRANCE,055E,TSL202306270793,185327879,Confirmed,N,CNNGB,CNNGB,USLGB,USLGB,CYP/CYP,09-Jul,09-Jul,45HCx1,1,45HCx1,1,28-Jun,1,1.265,1.265,,,,,,,09-Jul,,28-Jun,Yes,,,Starbucks,Ningbo,Bkg Agnt,Yes,,,0,,,,,,
AP > NA,AP,NA,CN,CN E.,28,STA,COSU,SSM25008,COSCO FRANCE,055E,TSL202306270794,185327954,Confirmed,N,CNNGB,CNNGB,USLGB,USLGB,CYP/CYP,09-Jul,09-Jul,45HCx1,1,45HCx1,1,28-Jun,1,1.265,1.265,,,,,,,09-Jul,,28-Jun,Yes,,,Starbucks,Ningbo,Bkg Agnt,Yes,,,0,,,,,,
AP > NA,AP,NA,CN,CN E.,28,TRI,COSU,SSM25008,COSCO FRANCE,055E,TSL202306270795,185328021,Confirmed,N,CNNGB,CNNGB,USLGB,USLGB,CYP/CYP,09-Jul,09-Jul,45HCx1,1,45HCx1,1,28-Jun,1,1.265,1.265,,,,,,,09-Jul,,28-Jun,Yes,,,Triumph,Ningbo,Bkg Agnt,Yes,,,0,,,,,,
AP > NA,AP,NA,CN,CN E.,28,TRI,COSU,SSM25008,COSCO FRANCE,055E,TSL202306270821,185328638,Confirmed,N,CNNGB,CNNGB,USLGB,USLGB,CYP/CYP,09-Jul,09-Jul,45HCx1,1,45HCx1,1,28-Jun,1,1.265,1.265,,,,,,,09-Jul,,28-Jun,Yes,,,Triumph,Ningbo,Bkg Agnt,Yes,,,0,,,,,,
AP > NA,AP,NA,CN,CN E.,28,COS,COSU,SSM25008,COSCO FRANCE,055E,TSL202306270820,185328736,Confirmed,N,CNNGB,CNNGB,USLGB,USLGB,CYP/CYP,09-Jul,09-Jul,40HCx1,1,40HCx1,1,28-Jun,1,1.125,1.125,,,,,,,09-Jul,,28-Jun,Yes,,,Costco,Ningbo,Bkg Agnt,Yes,,,0,,,,,,
AP > NA,AP,NA,CN,CN E.,28,WAL,COSU,SSM25008,COSCO FRANCE,055E,TSL202306270825,185328972,Confirmed,N,CNNGB,CNNGB,USLGB,USLGB,CYP/CYP,09-Jul,09-Jul,"40GPx1, 40HCx1",2,"40GPx1, 40HCx1",2,28-Jun,1,2.125,2.125,,,,,,,09-Jul,,28-Jun,Yes,,,Walmart,Ningbo,Bkg Agnt,Yes,,,0,,,,,,
